Menu Type,Menu Depth,Menu Size,Target Item
Radial,1,Large,Clothing
Radial,1,Large,Food
Radial,1,Large,Animals
Radial,1,Small,Continents
Radial,1,Small,Food
Radial,1,Small,Clothing
Radial,1,Medium,Animals
Radial,1,Medium,Food
Radial,1,Medium,Continents
Radial,2,Large,Bottoms
Radial,2,Large,America
Radial,2,Large,Vegetables
Radial,2,Small,Hats
Radial,2,Small,Meat
Radial,2,Small,Reptiles
Radial,2,Medium,Hats
Radial,2,Medium,Europe
Radial,2,Medium,Shoes
Radial,3,Large,Heels
Radial,3,Large,Onion
Radial,3,Large,Butter
Radial,3,Small,Butter
Radial,3,Small,Milk
Radial,3,Small,Cheese
Radial,3,Medium,Fox
Radial,3,Medium,Pineapple
Radial,3,Medium,Boots
Marking,1,Large,Animals
Marking,1,Large,Continents
Marking,1,Large,Food
Marking,1,Small,Clothing
Marking,1,Small,Food
Marking,1,Small,Animals
Marking,1,Medium,Food
Marking,1,Medium,Continents
Marking,1,Medium,Clothing
Marking,2,Large,Europe
Marking,2,Large,Dairy
Marking,2,Large,America
Marking,2,Small,Reptiles
Marking,2,Small,Hats
Marking,2,Small,Bottoms
Marking,2,Medium,Fruit
Marking,2,Medium,Africa
Marking,2,Medium,Meat
Marking,3,Large,Onion
Marking,3,Large,Penguin
Marking,3,Large,Fox
Marking,3,Small,Dogs
Marking,3,Small,Hamsters
Marking,3,Small,Catfish
Marking,3,Medium,Pineapple
Marking,3,Medium,Butter
Marking,3,Medium,Owl
